date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:42:29	1449/1449	---MCZ	404	error ('Not%20Found')	text/html	etag:1519857552-ssl-df	https://ahlikaca.netlify.app/robots.txt		(from )
09:42:30	79520/79520	---MCZ	200	added ('OK')	text/html	etag:%224af73a95c22a5adf0de929c04c45dbdb-ssl-df%22	https://ahlikaca.netlify.app/	E:/c/HTML/ahlikaca.netlify.app/ahlikaca.netlify.app/index.html	(from )
09:42:30	160/160	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2021%20Jun%202022%2002:42:32%20GMT	https://ahlikaca.netlify.com/wp-content/uploads/elementor/thumbs/Kaca-Tempered-nlgolp0v4jll9jze1fa1ip5e9gm1z7ym4pu7c5z2h0.jpg	E:/c/HTML/ahlikaca.netlify.app/ahlikaca.netlify.com/wp-content/uploads/elementor/thumbs/Kaca-Tempered-nlgolp0v4jll9jze1fa1ip5e9gm1z7ym4pu7c5z2h0.0.delayed	(from https://ahlikaca.netlify.app/)
09:42:31	8806/8806	---M--	200	added ('OK')	image/jpeg	etag:%22ae054f1128e80a0fc8bc632e60ccdf37-ssl%22	https://ahlikaca.netlify.app/wp-content/uploads/elementor/thumbs/Kaca-Tempered-nlgolp0v4jll9jze1fa1ip5e9gm1z7ym4pu7c5z2h0.jpg	E:/c/HTML/ahlikaca.netlify.app/ahlikaca.netlify.app/wp-content/uploads/elementor/thumbs/Kaca-Tempered-nlgolp0v4jll9jze1fa1ip5e9gm1z7ym4pu7c5z2h0.jpg	(from https://ahlikaca.netlify.app/)
09:42:31	158/158	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2021%20Jun%202022%2002:42:33%20GMT	https://ahlikaca.netlify.com/wp-content/uploads/elementor/thumbs/Kaca-Cermin-nlgomj3p78qrl2rp5sa3qhk59shstja0wupqp0qgxw.jpg	E:/c/HTML/ahlikaca.netlify.app/ahlikaca.netlify.com/wp-content/uploads/elementor/thumbs/Kaca-Cermin-nlgomj3p78qrl2rp5sa3qhk59shstja0wupqp0qgxw.2.delayed	(from https://ahlikaca.netlify.app/)
09:42:32	8659/8659	---M--	200	added ('OK')	image/jpeg	etag:%22f810b12dd0fc59d8db1e55c480fa5e05-ssl%22	https://ahlikaca.netlify.app/wp-content/uploads/elementor/thumbs/Kaca-Cermin-nlgomj3p78qrl2rp5sa3qhk59shstja0wupqp0qgxw.jpg	E:/c/HTML/ahlikaca.netlify.app/ahlikaca.netlify.app/wp-content/uploads/elementor/thumbs/Kaca-Cermin-nlgomj3p78qrl2rp5sa3qhk59shstja0wupqp0qgxw.jpg	(from https://ahlikaca.netlify.app/)
09:42:32	159/159	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2021%20Jun%202022%2002:42:34%20GMT	https://ahlikaca.netlify.com/wp-content/uploads/elementor/thumbs/Partisi-Kaca-nlgonqc9xmdyf50w5ayxx6nclikonm1oesq2rqyczo.jpg	E:/c/HTML/ahlikaca.netlify.app/ahlikaca.netlify.com/wp-content/uploads/elementor/thumbs/Partisi-Kaca-nlgonqc9xmdyf50w5ayxx6nclikonm1oesq2rqyczo.4.delayed	(from https://ahlikaca.netlify.app/)
09:42:33	13216/13216	---M--	200	added ('OK')	image/jpeg	etag:%2236eca5775d4318075230f9e1639608e0-ssl%22	https://ahlikaca.netlify.app/wp-content/uploads/elementor/thumbs/Partisi-Kaca-nlgonqc9xmdyf50w5ayxx6nclikonm1oesq2rqyczo.jpg	E:/c/HTML/ahlikaca.netlify.app/ahlikaca.netlify.app/wp-content/uploads/elementor/thumbs/Partisi-Kaca-nlgonqc9xmdyf50w5ayxx6nclikonm1oesq2rqyczo.jpg	(from https://ahlikaca.netlify.app/)
09:42:33	158/158	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2021%20Jun%202022%2002:42:35%20GMT	https://ahlikaca.netlify.com/wp-content/uploads/elementor/thumbs/Kaca-Shower-nlgp7qcncprlgfz1cy75z4yfmnzufrg2hsg0dpaslg.jpg	E:/c/HTML/ahlikaca.netlify.app/ahlikaca.netlify.com/wp-content/uploads/elementor/thumbs/Kaca-Shower-nlgp7qcncprlgfz1cy75z4yfmnzufrg2hsg0dpaslg.6.delayed	(from https://ahlikaca.netlify.app/)
09:42:34	10427/10427	---M--	200	added ('OK')	image/jpeg	etag:%22c3cc0577bf6851a8d82cca0f92971114-ssl%22	https://ahlikaca.netlify.app/wp-content/uploads/elementor/thumbs/Kaca-Shower-nlgp7qcncprlgfz1cy75z4yfmnzufrg2hsg0dpaslg.jpg	E:/c/HTML/ahlikaca.netlify.app/ahlikaca.netlify.app/wp-content/uploads/elementor/thumbs/Kaca-Shower-nlgp7qcncprlgfz1cy75z4yfmnzufrg2hsg0dpaslg.jpg	(from https://ahlikaca.netlify.app/)
